cluster,latitude,longitude,Cluster_Label
104,41.986989467,-87.840745861,104.0
105,41.975942042,-87.882329097,105.0
106,41.813947707,-87.658603189,106.0
107,42.009258281,-87.709222657,107.0
108,41.871011224,-87.757796773,108.0
109,41.7128602,-87.592464611,109.0
110,41.7001681,-87.72065968,110.0
111,41.825775084499995,-87.600572282,111.0
112,41.992683541999995,-87.7984160805,112.0
113,41.889765267,-87.732580986,113.0
114,41.6694253485,-87.54417394500001,114.0
115,41.861130782,-87.617946617,115.0
116,42.004335129,-87.81085809,116.0
117,41.880602371,-87.617252093,117.0
118,41.997332525000004,-87.76403865750001,118.0
119,41.792938266,-87.748876888,119.0
120,41.78597341,-87.79318210049999,120.0
121,41.7814100615,-87.575700803,121.0
122,41.860147488,-87.69906717,122.0
123,41.971443547,-87.846539801,123.0
124,41.803520976,-87.581925417,124.0
125,41.977830999999995,-87.818769254,125.0
126,41.7764707905,-87.799766555,126.0
127,41.969025645,-87.804827777,127.0
128,41.928165096,-87.635028477,128.0
129,41.830890037,-87.635503335,129.0
130,41.997738994,-87.757524245,130.0
131,42.007142825,-87.709280128,131.0
132,41.754318196,-87.693835851,132.0
133,41.840748121,-87.685269347,133.0
134,41.984438422,-87.762749551,134.0
135,41.975044657,-87.899410316,135.0
136,41.976858871,-87.822865961,136.0
137,41.9847645825,-87.738368663,137.0
138,41.705420732,-87.707438404,138.0
139,41.987038939,-87.794344469,139.0
140,41.809763103,-87.590193647,140.0
141,41.866639503,-87.744785397,141.0
142,41.706519963000005,-87.672941635,142.0
143,42.00450396,-87.7637945575,143.0
144,41.911657253499996,-87.800363225,144.0
145,41.989914353,-87.808344998,145.0
146,41.682314332,-87.708828073,146.0
147,41.989311711,-87.822681861,147.0
148,41.9867803495,-87.763964625,148.0
149,41.975281977,-87.813210219,149.0
150,41.96074753,-87.635996453,150.0
151,41.975097597,-87.647030688,151.0
152,41.757678154,-87.741643133,152.0
153,41.938065406,-87.8326046305,153.0
154,41.987154185,-87.881455466,154.0
155,41.81648957,-87.594914218,155.0
156,41.970686695,-87.787973625,156.0
157,41.811444585,-87.658545092,157.0
158,41.75167976,-87.72807262,158.0
159,41.709022907,-87.690333298,159.0
160,42.008916116,-87.777369305,160.0
161,41.872892586,-87.620587588,161.0
162,42.010376448,-87.8193481595,162.0
163,41.6841687845,-87.7064655885,163.0
164,41.82033716,-87.743498995,164.0
165,41.840449314,-87.690208275,165.0
166,41.868174151,-87.754617076,166.0
167,41.996087523,-87.741073271,167.0
168,41.906962748,-87.701271041,168.0
169,41.8233906425,-87.650293603,169.0
170,41.886608369,-87.689352578,170.0
171,41.908962792,-87.800304316,171.0
172,41.933326841,-87.633204433,172.0
173,42.015664702,-87.81776834600001,173.0
174,41.958096358,-87.74419364,174.0
175,41.9901286285,-87.799850644,175.0
176,41.837954218,-87.608109527,176.0
177,41.786587871,-87.677194557,177.0
178,41.946391574,-87.638093796,178.0
179,42.01904318,-87.700640798,179.0
180,41.960049832,-87.637695331,180.0
181,41.682333624,-87.559351383,181.0
182,41.975634898,-87.884950153,182.0
183,41.985692924,-87.81526982,183.0
184,41.677661758,-87.652872258,184.0
185,41.96245015,-87.64255203,185.0
186,41.980963017,-87.844900486,186.0
187,41.703661931,-87.716927671,187.0
188,41.819342065,-87.65582026,188.0
189,41.778300831,-87.579382212,189.0
190,41.813985829,-87.655290305,190.0
191,41.913198643,-87.802248021,191.0
192,41.972783061,-87.805923063,192.0
193,41.727888816,-87.6732122215,193.0
194,41.660800786,-87.585938111,194.0
195,41.999368114,-87.7618988,195.0
196,41.660639205,-87.57868132,196.0
197,41.779987641,-87.752063259,197.0
198,41.685401635,-87.714687212,198.0
199,41.660392338,-87.58879926,199.0
200,41.708175796,-87.719070949,200.0
201,42.005080581499996,-87.7815541205,201.0
202,41.849604126,-87.658628684,202.0
203,41.839720844,-87.675411965,203.0
204,41.685255231,-87.707925831,204.0
205,41.684932881,-87.711070954,205.0
206,41.69621552,-87.689915658,206.0
207,41.984277338,-87.881222021,207.0
208,42.0027083465,-87.7754523275,208.0
209,41.990732334,-87.817786767,209.0
210,41.854656631,-87.737050133,210.0
211,41.865810214,-87.7505944815,211.0
212,41.699633577,-87.710890905,212.0
213,41.687357508,-87.712450769,213.0
214,41.957636499,-87.884294227,214.0
215,41.70774688,-87.675484294,215.0
-1,41.865738389,-87.755387983,
-1,41.865738389,-87.755387983,
-1,42.005174292,-87.761791656,
-1,41.985005299,-87.826846809,
-1,41.78280918,-87.799651489,
-1,41.818202578,-87.595859367,
-1,41.711368801,-87.669016311,
-1,41.676787248,-87.540020864,
-1,41.975370561,-87.744078593,
-1,41.662422869,-87.549544037,
-1,41.816322654,-87.726708652,
-1,41.669415409,-87.559257257,
-1,41.844211983,-87.680529403,
-1,41.812424132,-87.651084653,
-1,42.006537807,-87.813680536,
-1,41.688556283,-87.713928415,
-1,41.996722401,-87.754171249,
-1,41.865736181,-87.75549447,
-1,41.82712637,-87.732880775,
-1,41.850109812,-87.620587302,
-1,41.848226989,-87.66105085,
-1,41.979541881,-87.900722188,
-1,41.988788046,-87.803411537,
-1,41.950804059,-87.893398808,
-1,42.016245125,-87.82064121,
-1,41.666070243,-87.549565678,
-1,41.993391476,-87.92226601,
-1,41.664168299,-87.549548487,
-1,41.70276803,-87.554499612,
-1,41.943275397,-87.714053207,
-1,41.702764909,-87.552826129,
-1,41.984393969,-87.742568298,
-1,41.71129166,-87.691662139,
-1,41.81831725,-87.731833155,
-1,41.681332216,-87.602139345,
-1,41.994300526,-87.914869723,
-1,41.992997674,-87.822177862,
-1,41.683386421,-87.545068687,
-1,41.67926686,-87.610124626,
-1,41.68716509,-87.710408797,
-1,41.664168299,-87.549548487,
-1,41.891446079,-87.734412628,
-1,41.84205808,-87.692775787,
-1,41.831491965,-87.719281856,
-1,41.714779171,-87.59172103,
-1,41.842291422,-87.680603974,
-1,42.003914916,-87.769602852,
-1,41.962221708,-87.841730867,
-1,41.841962419,-87.610101064,
-1,41.861407585,-87.670005919,
-1,41.889675252,-87.736897186,
-1,41.995026199,-87.819844048,
-1,42.010371236,-87.813634617,
-1,41.984457798,-87.728476957,
-1,42.00778257,-87.785125351,
-1,41.670216832,-87.575326594,
-1,41.710886806,-87.721075609,
-1,41.979613595,-87.728346268,
