Date,coordinates
1/9/12,"(41.877252943, -87.696188173)"
3/2/12,"(41.983166264, -87.689796508)"
1/6/12,"(41.761086517, -87.586199606)"
1/3/12,"(41.777224371, -87.758108149)"
3/1/12,"(41.74953359, -87.556492499)"
2/7/12,"(41.79171528, -87.767153565)"
2/11/12,"(41.860066636, -87.710367144)"
4/3/12,"(41.878630716, -87.636673298)"
2/4/12,"(41.931594464, -87.794267588)"
2/8/12,"(41.989243623, -87.665119726)"
4/2/12,"(41.888993854, -87.626934833)"
1/2/12,"(41.778324321, -87.747686071)"
1/7/12,"(41.922450893, -87.632206293)"
2/6/12,"(41.809451703, -87.697909548)"
3/4/12,"(41.88221489, -87.677722731)"
4/5/12,"(41.702159546, -87.62814492)"
2/4/12,"(41.945039683, -87.654774622)"
3/1/12,"(41.877556848, -87.755725816)"
3/4/12,"(41.90202757, -87.731206096)"
1/10/12,"(41.961785184, -87.73845697)"
2/5/12,"(41.905573245, -87.638419281)"
3/6/12,"(41.811361879, -87.605878541)"
2/7/12,"(41.904787917, -87.693093224)"
3/11/12,"(41.775748418, -87.670588697)"
2/3/12,"(41.952042582, -87.649630848)"
2/11/12,"(41.814856528, -87.669991247)"
4/2/12,"(41.818109754, -87.644560333)"
3/7/12,"(41.790103567, -87.69034506)"
2/8/12,"(41.926328713, -87.649997341)"
3/1/12,"(41.720900259, -87.5545774)"
2/7/12,"(41.765265227, -87.609210963)"
4/6/12,"(41.769477995, -87.666371618)"
3/6/12,"(41.840725929, -87.645128882)"
2/1/12,"(41.783939635, -87.612623471)"
1/11/12,"(41.882526427, -87.624384106)"
1/10/12,"(41.754592961, -87.741528537)"
3/7/12,"(41.79254441, -87.615922804)"
1/10/12,"(41.785951536, -87.658306475)"
1/11/12,"(41.761910257, -87.574959462)"
3/4/12,"(41.904685949, -87.726365155)"
4/3/12,"(41.772676017, -87.568321936)"
1/11/12,"(41.762362104, -87.664968171)"
3/8/12,"(41.65364899, -87.614590067)"
2/8/12,"(41.979006297, -87.906463155)"
2/3/12,"(41.912680251, -87.708522142)"
3/6/12,"(41.749899475, -87.663426378)"
2/2/12,"(41.793122759, -87.670629773)"
4/4/12,"(41.731549891, -87.658077682)"
1/4/12,"(41.881890812, -87.721436189)"
1/1/12,"(41.888839898, -87.714898764)"
1/12/12,"(41.8762118, -87.641006667)"
1/2/12,"(41.996481357, -87.687399931)"
4/8/12,"(41.705947689, -87.560855356)"
2/1/12,"(41.972451749, -87.652950271)"
2/2/12,"(41.939444419, -87.689596768)"
3/10/12,"(41.949653627, -87.807158228)"
4/7/12,"(41.895877613, -87.706566627)"
3/10/12,"(41.842798092, -87.660454431)"
3/11/12,"(41.824937667, -87.6216297)"
3/11/12,"(41.900995599, -87.670400798)"
3/7/12,"(41.883210775, -87.629906972)"
4/3/12,"(41.880747185, -87.724153461)"
1/9/12,"(41.755441497, -87.640502977)"
2/3/12,"(41.898082792, -87.641361855)"
1/1/12,"(41.749453338, -87.656138395)"
3/6/12,"(41.814740298, -87.622127784)"
3/10/12,"(41.895865841, -87.731032579)"
3/4/12,"(41.891801324, -87.76655704)"
1/11/12,"(41.917097377, -87.636339593)"
3/1/12,"(41.9411554, -87.643061268)"
1/8/12,"(41.866944067, -87.659859854)"
2/6/12,"(41.756617188, -87.562688944)"
2/8/12,"(41.793914018, -87.674604165)"
4/7/12,"(41.756732338, -87.563900695)"
2/5/12,"(41.894231197, -87.72237621)"
2/6/12,"(42.002054516, -87.670500663)"
2/11/12,"(41.884814849, -87.749108944)"
1/1/12,"(41.812373584, -87.604432822)"
1/1/12,"(41.904009022, -87.760185823)"
2/2/12,"(41.691640675, -87.626381549)"
2/9/12,"(41.75621255, -87.610203332)"
2/8/12,"(41.974473519, -87.809826125)"
1/7/12,"(41.942230567, -87.670440637)"
4/9/12,"(41.733226633, -87.544364336)"
3/6/12,"(41.705798142, -87.658241009)"
4/4/12,"(41.846085023, -87.657531586)"
2/7/12,"(41.905154135, -87.721507987)"
3/1/12,"(41.790348356, -87.767099588)"
3/9/12,"(41.752133217, -87.64163799)"
1/1/12,"(41.943634079, -87.648209964)"
3/9/12,"(41.765882176, -87.57385334)"
4/5/12,"(41.778751492, -87.781305912)"
2/2/12,"(41.873935958, -87.755483038)"
1/4/12,"(41.905266156, -87.765765707)"
4/7/12,"(41.936313481, -87.808252884)"
4/2/12,"(41.851794306, -87.703117482)"
3/9/12,"(41.892380707, -87.634636086)"
3/4/12,"(41.74799138, -87.641524877)"
3/8/12,"(41.761042853, -87.663684347)"
1/10/12,"(41.964757111, -87.713547384)"
3/4/12,"(41.941333176, -87.765129867)"
1/10/12,"(41.719751863, -87.567865747)"
4/3/12,"(41.905833996, -87.638427474)"
3/6/12,"(41.677167326, -87.632250389)"
1/9/12,"(41.809669669, -87.594427666)"
2/10/12,"(41.949030043, -87.759477598)"
4/5/12,"(41.864308475, -87.658268521)"
2/11/12,"(41.881088655, -87.720764494)"
4/9/12,"(41.872118081, -87.713165416)"
3/10/12,"(41.858530159, -87.713975828)"
4/3/12,"(41.874121485, -87.743930027)"
1/1/12,"(41.940007141, -87.647443851)"
4/3/12,"(41.880990522, -87.70463737)"
1/9/12,"(41.876121224, -87.641003973)"
1/9/12,"(41.970812707, -87.707318173)"
3/9/12,"(41.758670033, -87.555781234)"
1/8/12,"(41.793087778, -87.682269572)"
2/7/12,"(41.98287878, -87.791440835)"
3/7/12,"(41.961820579, -87.651541199)"
1/4/12,"(41.913157898, -87.805911332)"
4/1/12,"(41.762575466, -87.570564178)"
2/5/12,"(41.753252094, -87.646536874)"
3/2/12,"(41.769866853, -87.645747491)"
3/10/12,"(41.676787248, -87.540020864)"
1/12/12,"(41.994203085, -87.717757081)"
4/9/12,"(41.909262448, -87.774859625)"
4/6/12,"(41.714315089, -87.57319712)"
3/5/12,"(41.862897867, -87.711224399)"
3/12/12,"(41.77912812, -87.692617843)"
3/6/12,"(41.776529521, -87.703081318)"
3/9/12,"(41.853930752, -87.623841071)"
1/6/12,"(41.88997422, -87.715075128)"
3/10/12,"(41.903040701, -87.766902134)"
3/9/12,"(41.795167411, -87.646364606)"
2/6/12,"(41.902522915, -87.63140683)"
3/9/12,"(41.96055619, -87.71312483)"
1/7/12,"(41.932222582, -87.683432779)"
4/6/12,"(41.806881876, -87.750474092)"
3/4/12,"(41.890081681, -87.768430612)"
3/2/12,"(41.89946203, -87.756938965)"
4/8/12,"(41.998317551, -87.687458618)"
2/1/12,"(41.735931109, -87.653642482)"
3/2/12,"(41.732809973, -87.554085507)"
1/8/12,"(41.713447993, -87.663171386)"
4/3/12,"(41.880399914, -87.753008553)"
3/1/12,"(41.658182943, -87.61332106)"
3/8/12,"(41.786573963, -87.642521936)"
2/9/12,"(41.932623995, -87.654630603)"
3/12/12,"(41.881744562, -87.750833465)"
2/1/12,"(41.81600455, -87.619777011)"
1/4/12,"(41.892442732, -87.666294912)"
1/3/12,"(42.006397472, -87.682781392)"
3/7/12,"(41.703776493, -87.563243354)"
4/5/12,"(41.966284551, -87.66398817)"
2/2/12,"(41.904814739, -87.769388116)"
3/1/12,"(41.778602094, -87.605240672)"
4/8/12,"(41.659133631, -87.609134976)"
4/1/12,"(41.908563481, -87.628802119)"
1/2/12,"(41.721843846, -87.585071938)"
2/2/12,"(41.918711651, -87.76551063)"
3/5/12,"(41.880487595, -87.745964635)"
2/11/12,"(41.872871925, -87.696962349)"
1/5/12,"(41.745864284, -87.654827602)"
4/4/12,"(41.746692325, -87.665002465)"
4/7/12,"(41.925764201, -87.649209628)"
3/11/12,"(41.917080999, -87.733026643)"
2/8/12,"(41.909943001, -87.764236387)"
2/3/12,"(41.839585654, -87.732936793)"
2/12/12,"(41.732410243, -87.58393082)"
2/9/12,"(41.697958905, -87.630984694)"
1/5/12,"(41.761294967, -87.616769475)"
1/2/12,"(41.76040078, -87.710034558)"
2/7/12,"(41.939915886, -87.825160181)"
1/3/12,"(41.748848835, -87.68893193)"
1/2/12,"(41.899586853, -87.720110215)"
3/5/12,"(41.87424895, -87.734092207)"
2/1/12,"(41.697253185, -87.637682237)"
2/2/12,"(41.868180939, -87.709271389)"
2/3/12,"(41.933137132, -87.763107789)"
4/2/12,"(41.953587683, -87.733081234)"
4/4/12,"(41.847372055, -87.70389126)"
2/5/12,"(41.795991039, -87.630542489)"
1/1/12,"(41.767140707, -87.636462214)"
3/6/12,"(41.906307434, -87.723190503)"
3/6/12,"(41.760447239, -87.681804257)"
2/4/12,"(41.835505575, -87.645001335)"
4/1/12,"(41.766837163, -87.575095717)"
1/10/12,"(41.757836524, -87.621524942)"
3/12/12,"(41.910725105, -87.706781436)"
1/3/12,"(41.953900467, -87.907472601)"
1/6/12,"(41.762419957, -87.683180808)"
4/1/12,"(41.845456341, -87.722143156)"
3/1/12,"(41.891397078, -87.744571893)"
1/11/12,"(41.793935909, -87.625680278)"
4/2/12,"(41.895560955, -87.705868184)"
1/11/12,"(41.751164599, -87.612198632)"
1/4/12,"(41.733220568, -87.552717647)"
2/2/12,"(41.902008123, -87.774592242)"
3/10/12,"(41.890812201, -87.631681964)"
2/7/12,"(41.751708436, -87.568145845)"
3/4/12,"(41.859809525, -87.705483628)"
1/3/12,"(41.873806289, -87.694728011)"
2/8/12,"(41.772854092, -87.588742874)"
4/5/12,"(41.831594778, -87.651868162)"
1/1/12,"(41.794644408, -87.582524181)"
3/5/12,"(41.76143238, -87.590868863)"
1/11/12,"(41.992308578, -87.658966589)"
4/9/12,"(41.743090116, -87.619551568)"
3/9/12,"(41.995366855, -87.684902319)"
2/5/12,"(41.863749929, -87.716561346)"
2/11/12,"(41.876107394, -87.731056572)"
1/8/12,"(41.783379201, -87.605996939)"
1/5/12,"(41.749682678, -87.583055667)"
4/9/12,"(41.778321993, -87.586402872)"
2/12/12,"(41.933814849, -87.751598448)"
2/6/12,"(41.861530401, -87.731149332)"
3/10/12,"(41.910891137, -87.692117447)"
1/8/12,"(41.869047845, -87.624125523)"
3/9/12,"(41.9116839, -87.745917518)"
3/3/12,"(41.780542283, -87.669091108)"
1/4/12,"(41.777309867, -87.640802922)"
3/6/12,"(41.703786538, -87.605199138)"
2/7/12,"(41.675427823, -87.641830308)"
4/10/12,"(41.755185705, -87.580646009)"
4/9/12,"(41.86014601, -87.726213876)"
3/9/12,"(41.865393661, -87.722709581)"
3/6/12,"(41.92933468, -87.644202999)"
1/1/12,"(41.762260854, -87.692965274)"
4/5/12,"(41.916844096, -87.753681554)"
1/10/12,"(41.925284057, -87.658967358)"
2/7/12,"(41.896309662, -87.733511373)"
4/10/12,"(41.779112173, -87.693695901)"
1/9/12,"(41.734529924, -87.559662966)"
1/5/12,"(41.906142039, -87.735572068)"
4/4/12,"(41.899705666, -87.698047737)"
4/8/12,"(41.711168457, -87.665700186)"
3/2/12,"(41.724510728, -87.643297055)"
3/10/12,"(41.749445288, -87.605885396)"
4/7/12,"(41.685452129, -87.61048736)"
1/8/12,"(41.93268142, -87.797249979)"
3/4/12,"(41.778729109, -87.683628374)"
3/12/12,"(41.978594147, -87.693181938)"
2/5/12,"(41.878433338, -87.758126757)"
4/2/12,"(41.809318865, -87.620559144)"
3/9/12,"(41.794327111, -87.707252612)"
2/12/12,"(41.873620574, -87.711392136)"
3/7/12,"(41.671721454, -87.628480897)"
1/1/12,"(41.887822301, -87.754480176)"
3/8/12,"(42.0170322, -87.670963383)"
4/6/12,"(41.891404732, -87.628061509)"
2/2/12,"(41.872819179, -87.701824172)"
1/8/12,"(41.970395249, -87.689395545)"
3/7/12,"(41.841869335, -87.709842734)"
4/9/12,"(42.00167049, -87.673863642)"
3/7/12,"(41.723674279, -87.607747657)"
2/1/12,"(41.957540815, -87.711190798)"
3/2/12,"(41.703602205, -87.535285923)"
4/3/12,"(41.962685154, -87.655738273)"
1/6/12,"(41.991704561, -87.67403274)"
4/4/12,"(41.789939218, -87.781715977)"
3/1/12,"(41.76182216, -87.590882696)"
4/2/12,"(41.965845155, -87.713286801)"
4/7/12,"(41.776163991, -87.610705149)"
1/6/12,"(41.881086801, -87.757533776)"
3/11/12,"(41.701788975, -87.541346841)"
2/6/12,"(41.830954079, -87.630703226)"
4/2/12,"(41.756161959, -87.626326287)"
3/1/12,"(41.777575141, -87.637471128)"
1/8/12,"(41.971065944, -87.710993008)"
3/5/12,"(41.754172384, -87.552581097)"
1/7/12,"(41.764209513, -87.683228721)"
3/12/12,"(41.682225674, -87.672640177)"
3/2/12,"(41.692041778, -87.665923635)"
1/7/12,"(41.897956775, -87.723718119)"
2/1/12,"(41.979522329, -87.690840917)"
4/6/12,"(41.906242849, -87.633000828)"
4/7/12,"(41.941356327, -87.717464363)"
2/6/12,"(41.765356327, -87.673547448)"
4/1/12,"(41.786513592, -87.642522584)"
2/10/12,"(41.727906315, -87.65310796)"
3/7/12,"(41.653745791, -87.599937561)"
2/1/12,"(41.755422288, -87.640503184)"
2/7/12,"(41.697192014, -87.635288168)"
2/4/12,"(41.894387944, -87.658701135)"
4/7/12,"(41.890547945, -87.653445526)"
1/2/12,"(41.737264151, -87.560612084)"
4/3/12,"(41.934519571, -87.650350938)"
3/9/12,"(41.9764212, -87.904976266)"
2/5/12,"(41.848626311, -87.675511281)"
4/2/12,"(41.913159521, -87.700328149)"
4/3/12,"(41.662422869, -87.549544037)"
2/3/12,"(41.754359625, -87.576045209)"
1/10/12,"(41.807650669, -87.643080489)"
1/12/12,"(41.910676878, -87.697013153)"
1/9/12,"(41.750775808, -87.63455036)"
3/10/12,"(41.953443342, -87.744957048)"
2/5/12,"(41.948370261, -87.714349443)"
3/6/12,"(41.780376517, -87.630170387)"
1/9/12,"(41.880152185, -87.638676422)"
3/3/12,"(41.80462016, -87.684368169)"
3/3/12,"(41.65470253, -87.607556248)"
3/1/12,"(41.756650207, -87.561475423)"
4/6/12,"(41.93837878, -87.781680875)"
1/2/12,"(41.741678528, -87.55150863)"
4/10/12,"(41.783457423, -87.602754811)"
2/8/12,"(41.780509717, -87.642627358)"
2/6/12,"(41.840205468, -87.718339822)"
2/10/12,"(41.788964686, -87.723046742)"
3/11/12,"(41.854963672, -87.627133239)"
3/9/12,"(41.924283253, -87.796486146)"
2/7/12,"(41.896083132, -87.629765732)"
1/3/12,"(41.747321345, -87.59174239)"
3/7/12,"(41.852577345, -87.712355832)"
2/1/12,"(41.750832464, -87.605224746)"
3/6/12,"(41.910778977, -87.699098886)"
1/8/12,"(41.936335635, -87.650710119)"
1/7/12,"(41.786226493, -87.654669864)"
2/9/12,"(41.72008623, -87.673556523)"
1/11/12,"(41.764938794, -87.614038446)"
4/6/12,"(41.827797157, -87.631434876)"
3/6/12,"(41.774425321, -87.600928979)"
3/7/12,"(41.823798151, -87.619756522)"
2/6/12,"(41.785748648, -87.692357595)"
1/2/12,"(41.804902058, -87.624345579)"
2/2/12,"(41.802467788, -87.716591915)"
3/6/12,"(41.712980987, -87.551061724)"
4/9/12,"(41.959614184, -87.679845531)"
2/4/12,"(41.906570698, -87.728863727)"
4/8/12,"(41.898990504, -87.748351639)"
4/5/12,"(41.767087662, -87.639941476)"
1/5/12,"(41.770969165, -87.586268228)"
2/2/12,"(41.69006147, -87.618201285)"
3/2/12,"(41.78210152, -87.586502002)"
1/5/12,"(41.945175601, -87.668153174)"
1/7/12,"(41.846041032, -87.727352869)"
4/6/12,"(41.938150856, -87.639480736)"
4/3/12,"(41.932965918, -87.727012211)"
2/1/12,"(41.902370789, -87.745007403)"
1/7/12,"(41.790812326, -87.697378601)"
4/4/12,"(41.776248518, -87.605835547)"
2/11/12,"(41.965389556, -87.658298213)"
3/7/12,"(41.945347682, -87.766737323)"
2/1/12,"(41.891829177, -87.71301151)"
1/7/12,"(41.878981951, -87.69869001)"
2/7/12,"(41.871191211, -87.625922932)"
4/2/12,"(41.687438474, -87.700671253)"
3/6/12,"(41.691583891, -87.630995465)"
3/8/12,"(41.754168689, -87.601635756)"
4/7/12,"(41.725472899, -87.565680476)"
4/2/12,"(41.684849208, -87.659397251)"
3/9/12,"(41.879694646, -87.731155083)"
3/8/12,"(41.896888586, -87.628203192)"
1/10/12,"(41.713821782, -87.63695788)"
1/11/12,"(41.88233367, -87.627841791)"
1/2/12,"(41.721878401, -87.614998746)"
2/8/12,"(41.938064681, -87.740676904)"
1/7/12,"(41.956195731, -87.708082566)"
4/1/12,"(41.981729156, -87.692893082)"
4/8/12,"(41.813141685, -87.701695411)"
1/4/12,"(41.749114344, -87.577154938)"
4/4/12,"(41.707112183, -87.627556114)"
4/4/12,"(41.776590618, -87.676269937)"
3/2/12,"(41.799192941, -87.587774235)"
4/1/12,"(41.985387888, -87.700444412)"
1/7/12,"(41.898767916, -87.624116333)"
2/11/12,"(41.921096539, -87.77561994)"
3/6/12,"(41.731312439, -87.595366673)"
2/12/12,"(41.837710451, -87.618251554)"
3/11/12,"(41.755399883, -87.563271576)"
1/4/12,"(41.909895889, -87.725588389)"
3/4/12,"(41.940871665, -87.727984861)"
4/2/12,"(41.91088346, -87.717794114)"
1/9/12,"(41.941821405, -87.690664522)"
1/8/12,"(41.879749988, -87.726549781)"
1/12/12,"(41.891907536, -87.765281648)"
2/12/12,"(41.885384381, -87.629486511)"
3/8/12,"(41.884497529, -87.625838595)"
3/12/12,"(41.774370886, -87.607051897)"
2/10/12,"(41.690141313, -87.637465963)"
3/2/12,"(41.7505606, -87.649409369)"
4/6/12,"(41.809092555, -87.632842212)"
3/5/12,"(41.883491986, -87.753957403)"
2/3/12,"(41.688727452, -87.605914492)"
1/5/12,"(41.790591567, -87.650318794)"
1/12/12,"(41.876729467, -87.723093719)"
3/4/12,"(41.917443653, -87.74745197)"
4/8/12,"(41.885490396, -87.726444052)"
1/2/12,"(41.750682777, -87.613699222)"
4/1/12,"(41.750433336, -87.607636954)"
3/5/12,"(41.758101926, -87.563928316)"
3/8/12,"(41.749500737, -87.667062179)"
1/11/12,"(41.908533952, -87.726475653)"
4/1/12,"(41.693451522, -87.626760819)"
4/9/12,"(41.892123482, -87.75794518)"
2/4/12,"(41.837278413, -87.666405698)"
3/11/12,"(41.895790829, -87.762000308)"
2/10/12,"(41.767720172, -87.667537182)"
4/9/12,"(41.87531818, -87.721407092)"
2/6/12,"(41.7943228, -87.624781229)"
3/3/12,"(41.747966243, -87.658524987)"
4/4/12,"(41.993892087, -87.660388215)"
2/11/12,"(41.962004259, -87.654752754)"
1/12/12,"(41.809504436, -87.608551557)"
1/8/12,"(41.897561962, -87.711501488)"
2/1/12,"(41.747664827, -87.654874605)"
2/6/12,"(41.990916715, -87.716442431)"
1/11/12,"(41.922751559, -87.647455989)"
2/2/12,"(41.807650669, -87.643080489)"
2/10/12,"(41.757072843, -87.666686994)"
2/5/12,"(41.95615593, -87.730921112)"
2/4/12,"(41.84931381, -87.705178863)"
3/7/12,"(41.697922901, -87.67544552)"
3/11/12,"(41.917130084, -87.7293042)"
2/2/12,"(41.816321863, -87.631189677)"
4/5/12,"(41.871908177, -87.701840483)"
3/2/12,"(41.876607964, -87.627644063)"
3/12/12,"(41.903879295, -87.695508415)"
1/11/12,"(41.909386568, -87.764920978)"
3/5/12,"(41.702612409, -87.624584199)"
3/4/12,"(41.678642633, -87.622680184)"
1/1/12,"(41.942351064, -87.649344776)"
4/10/12,"(41.909304522, -87.771670424)"
4/6/12,"(41.86569017, -87.684690773)"
1/11/12,"(41.690918917, -87.656932081)"
4/8/12,"(41.76413871, -87.719242708)"
4/4/12,"(41.965412549, -87.656610234)"
2/2/12,"(41.738508319, -87.561168753)"
1/10/12,"(41.877268465, -87.711536692)"
2/3/12,"(41.795088887, -87.667044968)"
1/11/12,"(41.99439018, -87.727650868)"
2/7/12,"(41.960261814, -87.783529059)"
3/12/12,"(41.681017397, -87.626388015)"
3/2/12,"(41.702684248, -87.525274478)"
2/6/12,"(41.909548179, -87.711895828)"
3/4/12,"(41.722854305, -87.605668906)"
1/4/12,"(41.906807192, -87.719130062)"
4/8/12,"(41.955965816, -87.722467073)"
3/12/12,"(41.979006297, -87.906463155)"
3/3/12,"(41.948757629, -87.81774156)"
3/7/12,"(41.866216769, -87.621623622)"
4/9/12,"(41.735054665, -87.544411576)"
3/10/12,"(41.88065335, -87.731862147)"
4/4/12,"(41.827716548, -87.694749654)"
2/7/12,"(41.755129891, -87.652648327)"
4/6/12,"(41.906088123, -87.642796276)"
3/2/12,"(41.869491903, -87.710642788)"
1/10/12,"(41.760660824, -87.649148188)"
4/2/12,"(41.673548279, -87.616795523)"
2/4/12,"(41.757195137, -87.564573204)"
1/5/12,"(41.712933623, -87.680606851)"
1/4/12,"(41.855524939, -87.6978538)"
4/9/12,"(41.669415409, -87.559257257)"
2/4/12,"(41.883090953, -87.650520679)"
1/9/12,"(41.884373312, -87.751327389)"
2/1/12,"(42.007891717, -87.666764317)"
2/8/12,"(41.740901519, -87.639941123)"
3/11/12,"(41.891062111, -87.617043461)"
2/1/12,"(41.775361565, -87.759869866)"
2/2/12,"(41.773414304, -87.709032408)"
1/2/12,"(41.816397665, -87.632817639)"
1/4/12,"(41.878638996, -87.627691486)"
2/10/12,"(41.719188563, -87.654196215)"
4/1/12,"(41.876166158, -87.726580011)"
4/3/12,"(41.81233556, -87.599323435)"
1/7/12,"(41.688303147, -87.610869156)"
1/7/12,"(41.976028796, -87.842595585)"
3/7/12,"(41.869137185, -87.744856967)"
1/1/12,"(42.015609434, -87.684188906)"
2/4/12,"(41.785438415, -87.60442266)"
1/5/12,"(41.838916012, -87.623250984)"
4/7/12,"(41.930093461, -87.716334252)"
2/3/12,"(41.93804827, -87.656778337)"
3/7/12,"(41.852239702, -87.671550497)"
4/7/12,"(41.91911949, -87.644919182)"
2/3/12,"(41.849253705, -87.702724002)"
4/7/12,"(41.743454395, -87.57738991)"
1/4/12,"(42.016906591, -87.675365909)"
2/9/12,"(41.998348963, -87.706993175)"
2/4/12,"(42.018496028, -87.675942011)"
3/4/12,"(41.91782206, -87.731476509)"
3/3/12,"(41.903203654, -87.691959272)"
3/10/12,"(41.893657639, -87.713159097)"
3/11/12,"(41.794759204, -87.585397931)"
2/11/12,"(41.734824676, -87.554141757)"
4/8/12,"(41.88454578, -87.737334166)"
2/2/12,"(42.01224271, -87.686688529)"
2/7/12,"(41.783299299, -87.607248137)"
3/8/12,"(41.911281266, -87.699115957)"
2/2/12,"(41.745079376, -87.605062559)"
1/9/12,"(41.691783346, -87.681622555)"
4/6/12,"(41.983644399, -87.658837346)"
3/10/12,"(41.858264122, -87.727380651)"
4/9/12,"(41.687789474, -87.669009988)"
3/9/12,"(41.973339203, -87.653132052)"
4/6/12,"(41.728954658, -87.576735647)"
4/3/12,"(41.810453067, -87.593347577)"
2/5/12,"(41.904628748, -87.710051684)"
1/11/12,"(41.735829412, -87.725107177)"
3/9/12,"(41.885487535, -87.726422045)"
3/11/12,"(41.995274884, -87.787502471)"
2/8/12,"(41.928721641, -87.672495127)"
4/9/12,"(41.904370109, -87.631460067)"
3/7/12,"(41.888309133, -87.765140918)"
1/4/12,"(41.757204493, -87.646637674)"
1/3/12,"(41.946019562, -87.805805979)"
1/1/12,"(41.759578644, -87.56315198)"
2/9/12,"(41.986332562, -87.666154315)"
2/5/12,"(41.961209001, -87.704992887)"
2/10/12,"(41.757559995, -87.557612516)"
4/7/12,"(41.719137839, -87.549247181)"
1/4/12,"(41.712186164, -87.615110331)"
1/6/12,"(41.930555163, -87.725723071)"
2/1/12,"(41.725898464, -87.657928055)"
4/3/12,"(41.695513423, -87.611015486)"
1/7/12,"(41.735816901, -87.661286494)"
1/7/12,"(41.852731587, -87.701390474)"
1/1/12,"(41.882885017, -87.769852743)"
3/7/12,"(41.797689933, -87.622543713)"
1/3/12,"(41.868541914, -87.639235361)"
3/1/12,"(41.892121513, -87.685929262)"
1/3/12,"(41.75955136, -87.607867766)"
4/3/12,"(41.691689175, -87.622232709)"
1/2/12,"(41.757805848, -87.60049491)"
2/7/12,"(41.932306604, -87.676497041)"
1/8/12,"(41.922705567, -87.681004963)"
1/7/12,"(41.95506832, -87.669072351)"
2/12/12,"(41.89405739, -87.629237033)"
4/5/12,"(41.943867792, -87.653827678)"
1/6/12,"(41.701833324, -87.563215273)"
3/10/12,"(41.707403127, -87.582529359)"
3/9/12,"(41.77759733, -87.786719856)"
3/10/12,"(41.761404754, -87.616771919)"
1/10/12,"(41.793705266, -87.661305533)"
3/6/12,"(41.888778301, -87.632512191)"
4/4/12,"(41.746625732, -87.608742532)"
3/6/12,"(41.790589106, -87.65036649)"
2/6/12,"(42.014493615, -87.690227788)"
1/1/12,"(41.893202091, -87.675193651)"
2/3/12,"(41.765162688, -87.624896894)"
1/7/12,"(41.768966549, -87.594015174)"
1/1/12,"(41.889107991, -87.723464378)"
3/10/12,"(41.76782621, -87.591660242)"
2/1/12,"(42.005637434, -87.673186156)"
4/4/12,"(41.901740233, -87.679660909)"
3/4/12,"(41.766946791, -87.57632241)"
3/6/12,"(41.761918391, -87.68184069)"
2/1/12,"(41.721627204, -87.624485177)"
3/2/12,"(41.797482716, -87.757552954)"
3/12/12,"(41.976762981, -87.900983721)"
1/9/12,"(41.834878761, -87.679086733)"
1/8/12,"(42.002044669, -87.689992614)"
3/3/12,"(41.827850191, -87.704548506)"
1/9/12,"(41.924250576, -87.745545036)"
4/7/12,"(41.869330268, -87.687341495)"
2/11/12,"(41.736794231, -87.552802609)"
1/5/12,"(41.880131389, -87.641140619)"
2/9/12,"(41.884930978, -87.716221792)"
4/3/12,"(41.96831643, -87.721234913)"
4/10/12,"(41.881738601, -87.751281527)"
1/4/12,"(41.760796235, -87.567125234)"
1/12/12,"(41.688285799, -87.637409075)"
2/8/12,"(41.731532836, -87.661723158)"
2/8/12,"(41.892142709, -87.757948681)"
2/10/12,"(41.686730296, -87.615631496)"
4/6/12,"(41.779776542, -87.643009194)"
2/5/12,"(41.88407329, -87.722102089)"
2/4/12,"(41.999696749, -87.814942902)"
4/3/12,"(41.728613851, -87.597361164)"
2/5/12,"(41.747772446, -87.715294414)"
2/9/12,"(41.769686171, -87.651808963)"
3/3/12,"(41.974696966, -87.774560468)"
3/10/12,"(41.883006315, -87.764952877)"
2/2/12,"(41.856470062, -87.6661109)"
3/6/12,"(41.694730127, -87.652172445)"
3/8/12,"(41.879500723, -87.626804385)"
4/5/12,"(41.874060099, -87.705924314)"
4/7/12,"(41.878940618, -87.701147005)"
1/8/12,"(41.744519404, -87.555629532)"
1/5/12,"(41.759219493, -87.652748053)"
3/6/12,"(41.893893173, -87.615127644)"
3/8/12,"(41.886283465, -87.76339609)"
2/4/12,"(41.823125769, -87.602725951)"
3/9/12,"(41.828120057, -87.669120515)"
1/7/12,"(42.00536154, -87.671500215)"
4/7/12,"(42.006680746, -87.698577693)"
2/5/12,"(41.910361891, -87.727567836)"
3/5/12,"(41.698074049, -87.621598472)"
1/7/12,"(41.857561639, -87.619451045)"
2/3/12,"(41.846417299, -87.64646622)"
2/9/12,"(41.880990522, -87.70463737)"
1/9/12,"(41.891537223, -87.637634891)"
1/8/12,"(41.764284895, -87.580928208)"
2/4/12,"(41.927906197, -87.647621265)"
3/2/12,"(41.693960671, -87.621658468)"
3/6/12,"(41.997211852, -87.655603889)"
1/5/12,"(41.878638996, -87.627691486)"
4/4/12,"(41.778660358, -87.693381423)"
2/2/12,"(41.826481098, -87.62403416)"
4/2/12,"(41.65685141, -87.607565057)"
4/3/12,"(41.909168175, -87.64708709)"
2/8/12,"(41.871022206, -87.683711633)"
4/7/12,"(41.864021826, -87.676990834)"
3/10/12,"(41.937718623, -87.640613767)"
4/10/12,"(41.957937588, -87.751265132)"
3/12/12,"(41.780595495, -87.68367553)"
1/4/12,"(41.961050022, -87.651174387)"
4/6/12,"(41.763291654, -87.589810116)"
1/3/12,"(41.973267845, -87.658244449)"
