cluster,latitude,longitude,Cluster_Label
68,41.779032556,-87.599165812,68.0
69,41.836880495,-87.64769855,69.0
70,41.7022380695,-87.563220694,70.0
71,41.749876545,-87.682871596,71.0
72,41.884154496,-87.671812366,72.0
73,41.760553073,-87.672256721,73.0
74,41.80933197,-87.6883476485,74.0
75,41.8282473585,-87.6951058615,75.0
76,41.65580407,-87.604852707,76.0
77,41.870228513,-87.747804374,77.0
78,41.668165234,-87.624747095,78.0
79,41.8854865035,-87.7144812585,79.0
80,41.705564724,-87.607222327,80.0
81,41.682611348,-87.655455714,81.0
82,41.685327511,-87.650500546,82.0
83,41.810585717,-87.748190613,83.0
84,41.721331773,-87.659780783,84.0
85,41.837962028,-87.71217141,85.0
86,41.733771642,-87.619313551,86.0
87,41.782315073,-87.597856746,87.0
88,41.721939865,-87.574474559,88.0
89,41.778573691999995,-87.7316531075,89.0
90,41.795130707,-87.67190699349999,90.0
91,41.732969807,-87.545782092,91.0
92,41.703127069,-87.657280903,92.0
93,41.76325744,-87.597000723,93.0
94,41.78957138,-87.67296551,94.0
95,41.817857411,-87.701887771,95.0
96,41.671702226,-87.639300814,96.0
97,41.864931246,-87.661514673,97.0
98,41.974333312,-87.842772178,98.0
99,41.842118844,-87.632987159,99.0
100,41.855914146,-87.669688216,100.0
101,41.813331428,-87.6661540065,101.0
102,41.682656252,-87.669768701,102.0
103,41.682132435,-87.672652113,103.0
104,41.790459431,-87.617498271,104.0
105,41.930947230499996,-87.788154443,105.0
106,41.8775848275,-87.68454173,106.0
107,41.826035531,-87.63269443,107.0
108,41.71841252,-87.649950034,108.0
109,41.6924230115,-87.63511330099999,109.0
110,41.783409097,-87.64329348,110.0
111,41.7437846695,-87.68880580749999,111.0
112,41.708072003,-87.564530754,112.0
113,41.749659944,-87.709643588,113.0
114,41.6909840105,-87.605177017,114.0
115,41.79794243,-87.616913149,115.0
116,41.73064284,-87.598865773,116.0
117,41.756798024,-87.67088965,117.0
118,41.717709791,-87.566798857,118.0
119,41.690701233,-87.662998245,119.0
120,41.820371997,-87.6035348315,120.0
121,41.9795188345,-87.692447486,121.0
122,41.846801978,-87.623527134,122.0
123,41.936067007999995,-87.705090629,123.0
124,41.671702867,-87.649021256,124.0
125,41.777540344,-87.790327923,125.0
126,41.96988521,-87.762690091,126.0
127,41.799204348,-87.588007653,127.0
128,41.938955367999995,-87.7387586945,128.0
129,41.9905833045,-87.710948753,129.0
130,41.976290414,-87.905227221,130.0
131,41.98287878,-87.791440835,131.0
132,41.78210152,-87.586502002,132.0
133,41.813012973,-87.699253615,133.0
134,41.814467158,-87.6414655865,134.0
135,41.7775435155,-87.782088826,135.0
136,41.836385231,-87.66571041,136.0
137,41.706515041,-87.645243421,137.0
138,41.70276133,-87.53528654,138.0
139,41.979250183000005,-87.839658835,139.0
140,41.850136652,-87.691454756,140.0
141,41.706070186,-87.653645803,141.0
142,41.832571089,-87.704685773,142.0
143,41.660149931,-87.637755878,143.0
144,41.68816036,-87.61567891,144.0
145,41.722280386,-87.537707588,145.0
146,41.945711966,-87.78238224,146.0
147,41.953900467,-87.907472601,147.0
148,41.867081407,-87.619003708,148.0
149,41.792568965,-87.598102194,149.0
150,41.994933431999996,-87.67454059549999,150.0
